1533600001,808
1533600032,803
1533600062,815
1533600093,824
1533600124,854
1533600155,813
1533600186,829
1533600216,840
1533600247,834
1533600277,814
1533600308,819
1533600339,823
1533600369,4030
1533600400,3988
1533600431,3965
1533600462,3973
1533600493,4025
1533600523,4034
1533600554,4014
1533600585,4011
1533600601,851
1533600632,833
1533600662,830
1533600693,833
1533600724,810
1533600755,825
1533600786,848
1533600816,843
1533600847,832
1533600877,802
1533600908,816
1533600939,816
1533600969,837
1533601000,953
1533601031,935
1533601062,902
1533601092,904
1533601123,943
1533601154,930
1533601185,952
1533601201,940
1533601232,939
1533601262,933
1533601293,946
1533601324,930
1533601355,917
1533601385,905
1533601416,909
1533601447,880
1533601478,940
1533601508,938
1533601539,927
1533601569,926
1533601600,897
1533601631,905
1533601661,930
1533601692,933
1533601723,926
1533601754,921
1533601784,923
1533601802,918
1533601832,892
1533601863,910
1533601893,927
1533601924,932
1533601955,915
1533601986,903
1533602016,917
1533602047,922
1533602078,912
1533602109,928
1533602139,928
1533602170,896
1533602201,898
1533602231,916
1533602262,928
1533602293,926
1533602324,909
1533602354,917
1533602385,925
1533602402,934
1533602432,928
1533602462,921
1533602493,903
1533602524,908
1533602554,913
1533602585,922
1533602616,931
1533602647,916
1533602677,925
1533602708,912
1533602739,911
1533602770,921
1533602801,929
1533602831,922
1533602862,920
1533602893,889
1533602923,912
1533602954,921
1533602984,929
1533603002,922
1533603032,907
1533603062,923
1533603093,900
1533603124,889
1533603154,917
1533603185,935
1533603216,928
1533603246,918
1533603277,928
1533603307,893
1533603338,903
1533603369,922
1533603400,916
1533603430,930
1533603461,900
1533603492,878
1533603523,889
1533603553,927
1533603584,917
1533603601,920
1533603632,914
1533603662,916
1533603693,885
1533603724,875
1533603754,907
1533603785,928
1533603816,923
1533603846,917
1533603877,901
1533603908,930
1533603939,877
1533603970,905
1533604000,932
1533604031,936
1533604062,925
1533604092,916
1533604123,923
1533604153,912
1533604184,912
1533604201,881
1533604231,897
1533604262,927
1533604293,902
1533604323,896
1533604354,900
1533604385,907
1533604416,922
1533604446,924
1533604477,909
1533604507,874
1533604538,917
1533604569,915
1533604600,911
1533604631,919
1533604661,915
1533604692,881
1533604723,900
1533604754,894
1533604785,877
1533604801,888
1533604832,919
1533604862,917
1533604893,912
1533604924,914
1533604955,879
1533604985,924
